title_tt,title_sp,album_tt,album_sp,artist,videos,views,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity
STAY,STAY (with Justin Bieber),STAY,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",2131,310200000,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,141806,98
Spao Ta Rologia,Spao Ta Rologia,Spao Ta Rologia,Spao Ta Rologia,Triantafillos,44,326800,0.625,0.874,9,-4.823,0,0.0517,0.162,0.000531,0.254,0.927,163.982,4,192081,46
Woh,Woh Chaand Kahan Se Laogi,Superstar,Best Of 2021 - (Heart Break Hits),Vishal Mishra,2,6999,0.473,0.349,8,-8.44,0,0.0381,0.823,0.0,0.102,0.385,143.374,4,280690,0
Amityville Horror - Scary Halloween Sound Effects,Amityville Horror - Scary Halloween Sound Effects,Halloween Shuffle Play - 150 Scary Sounds and Halloween Music,Halloween Shuffle Play - 150 Scary Sounds and Halloween Music,Halloween Sound Effects,239,30400000,0.368,0.0556,7,-18.41,0,0.0564,0.996,0.934,0.0869,0.148,124.132,3,60483,36
Mia Zoi Mazi (The Light) - Live,Mia Zoi Mazi (The Light) - Live,Live Ballads - Live,Live Ballads,Sakis Rouvas,10,15000,0.634,0.754,8,-6.918,1,0.026,0.0426,0.0,0.879,0.552,104.646,4,238160,22
Monkeys Spinning Monkeys,Monkeys Spinning Monkeys,Monkeys Spinning Monkeys,Music to Delight,Kevin MacLeod,2518,87400000,0.929,0.203,7,-18.004,1,0.146,0.901,0.803,0.11,0.91,144.053,4,125074,48
good 4 u,good 4 u,good 4 u,SOUR,Olivia Rodrigo,243,42400000,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,178147,94
水に流して,水に流して,エディット・ピアフ・スペシャル・コレクション,連続ドラマW「推定有罪」オリジナルサウンドトラック,Kengo Tokusashi,37,58900000,0.31,0.273,0,-16.054,1,0.0331,0.644,0.928,0.102,0.221,82.306,4,255267,5
Ruby Soho,Ruby Soho,...And Out Come The Wolves,...And Out Come The Wolves,Rancid,6,80500,0.505,0.938,7,-5.381,1,0.0432,0.0201,0.00218,0.177,0.961,161.842,4,157533,61
Elpida,Elpida,Elpida,Super Trapper II,Mad Clip,390,884600,0.877,0.649,7,-6.32,0,0.254,0.0188,0.0,0.241,0.794,151.058,4,216159,53
Shake The Room,Shake The Room (feat. Quavo),Meet The Woo 2,Meet The Woo 2,"Pop Smoke, Quavo",8,105600,0.733,0.684,2,-4.748,1,0.177,0.142,0.0,0.179,0.437,142.04,4,165640,70
Hello Baby feat. Fivio Foreign,Hello Baby feat. Fivio Foreign,Hello Baby feat. Fivio Foreign,Off the Yak,"Young M.A, Fivio Foreign",49,301800,0.893,0.537,7,-6.822,0,0.364,0.211,0.0,0.0599,0.588,140.038,4,178562,59
Beggin',Beggin',Chosen,Chosen,Måneskin,782,49800000,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,4,211560,94
Unforgettable,Unforgettable,Jungle Rules,Jungle Rules,"French Montana, Swae Lee",6,203600,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,233902,81
Guitar Music,Guitar Music With Ocean Waves (Baby Sleep Aid),Guitar Music,"Baby Lullaby: Relaxing Guitar Lullabies With Nature Sounds of Ocean Waves for Baby Sleep Music, Newborn Sleep Aid and the Best Baby Music",Baby Lullaby,7,194700,0.426,0.0324,8,-20.66,1,0.0363,0.962,0.927,0.11,0.159,43.893,3,111192,31
Без тебя я не я,Без тебя я не я,Список твоих мыслей,Список твоих мыслей,"JONY, HammAli & Navai",57,22800000,0.639,0.698,7,-6.974,0,0.0702,0.756,0.0,0.146,0.31,116.267,4,200690,66
You Broke Me First,you broke me first,You Broke Me First,you broke me first,Tate McRae,23,6900000,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,169266,86
Komm mit,Komm mit mir mit,Komm mit / Ela,Schlager Weihnachten 2021,Kerstin Ott,12,130900,0.559,0.337,5,-10.167,1,0.0293,0.674,2.09e-06,0.0985,0.262,111.973,4,191987,0
MMM MMM (feat. ATL Jacob),MMM MMM (feat. ATL Jacob),MMM MMM (feat. ATL Jacob),MMM MMM (feat. ATL Jacob),"Kali, ATL Jacob",162,10000000,0.85,0.444,9,-8.69,1,0.346,0.134,0.0,0.113,0.187,86.533,4,137341,68
ULTRAnumb - Celldweller Remix,ULTRAnumb - Celldweller Remix,Blue Stahli - Deluxe Edition,Blue Stahli (Deluxe Edition),"Blue Stahli, Celldweller",29,164100,0.43,0.955,0,-3.733,1,0.104,0.000892,0.00115,0.082,0.418,184.055,4,323560,38
RRAK TAK TAK - Remix,RRAK TAK TAK - Remix,RRAK TAK TAK - Remix,RRAK TAK TAK (Remix),"Eri Qerimi, Landi Roko, Albert Sula",79,688400,0.72,0.735,10,-3.123,0,0.0484,0.102,0.44,0.165,0.613,92.99,4,149677,47
All I Want for Christmas Is You,All I Want for Christmas Is You,Merry Christmas,Merry Christmas,Mariah Carey,144,35300000,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4,241107,85
A Thousand Miles (Instrumental Playback),A Thousand Miles - Instrumental Playback,Karaoke Love Songs,Wedding Piano Instrumentals,Professional Piano,5,3800000,0.627,0.215,11,-12.521,1,0.101,0.94,0.854,0.177,0.507,96.006,4,227974,9
Scary,Scary Garry,Background Sounds 01,Scary Garry,"Kaito Shoma, DJ Paul, Kingpin Skinny Pimp",66,26900000,0.812,0.974,8,-2.327,1,0.227,0.695,0.512,0.582,0.064,153.979,4,99748,75
Kommatia,Kommatia,Kommatia,Kommatia,Thitis,15,33200,0.667,0.562,11,-6.632,1,0.413,0.0722,0.0,0.183,0.865,171.89,4,192907,32
Water Fountain,Water Fountain,Narrated For You,Narrated For You,Alec Benjamin,61,1500000,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,4,218893,82
Tainted Love,Tainted Love,Non-Stop Erotic Cabaret,Non-Stop Erotic Cabaret,Soft Cell,498,28000000,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,4,153800,77
Pa' Que Retozen,Pa' Que Retozen,El Abayarde,El Abayarde,Tego Calderon,16,17900000,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,4,151667,76
Rasputin,Rasputin,Efi Thodi - International,Rasputin,"Majestic, Boney M.",36,290400,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,4,186210,84
Hello Bitches,Hello Bitches,Hello Bitches,Hello Bitches,CL,111,31500000,0.714,0.884,11,-2.932,1,0.113,0.00985,0.0,0.439,0.584,145.075,4,178177,71
Zindagi,Zindagi Kuch Toh Bata (Reprise),Love Punjab (Original Motion Picture Soundtrack),Bajrangi Bhaijaan,"Pritam, Jubin Nautiyal",2,15000,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988,4,258879,62
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",1663,92800000,0.504,0.788,3,-4.113,0,0.215,0.0134,0.0,0.363,0.228,170.039,4,186022,81
Into The Thick Of It!,Into The Thick Of It!,The Backyardigans,The Backyardigans,The Backyardigans,106,217800000,0.703,0.0828,7,-14.178,1,0.139,0.825,1.24e-05,0.13,0.57,125.879,4,158853,60
"Bills, Bills, Bills","Bills, Bills, Bills",The Writing's On The Wall,The Writing's On The Wall,Destiny's Child,50,32700000,0.845,0.576,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,4,256027,77
Just for me,Just for me,Just for me,Just for me,PinkPantheress,7,2300000,0.778,0.628,0,-7.844,1,0.0618,0.705,0.00193,0.299,0.698,133.048,4,115801,80
Heaven or Las Vegas,Heaven or Las Vegas,Heaven or Las Vegas,Heaven or Las Vegas,Cocteau Twins,4,3035,0.202,0.804,7,-5.465,1,0.0383,6.97e-05,0.00775,0.081,0.418,179.911,4,298400,63
Lust,Lust,Life of a Dark Rose,Life of a Dark Rose,Lil Skies,4,1074,0.718,0.767,9,-5.641,1,0.166,0.138,0.0,0.114,0.519,160.084,4,156000,74
Get Into It (Yuh),Get Into It (Yuh),Planet Her,Planet Her,Doja Cat,689,157200000,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,4,138293,88
FEEL THE GROOVE,Feel the Groove,,"Feel Good Pop, Vol. 2",Trapaholics,302,71700000,0.84,0.755,4,-4.749,0,0.0519,0.00252,0.888,0.0538,0.861,122.005,4,112884,36
Sneaky Snitch,Sneaky Snitch,Mystery,Mystery,Kevin MacLeod,143,56000000,0.905,0.0698,2,-22.736,1,0.112,0.625,0.937,0.102,0.417,87.036,4,136620,47
Squid Game,Squid Game,Squid Game,Squid Game,"ANTH, Conor Maynard",876,70900000,0.692,0.582,9,-6.958,0,0.236,0.288,0.0,0.0965,0.318,145.087,4,132535,55
Μαγειρεύω,Μαγειρεύω,Και Κάνω Πάρτυ,Και Κάνω Πάρτυ,Lia Kasiou,195,625000,0.908,0.586,0,-10.179,1,0.0533,0.402,0.0,0.0463,0.963,95.038,4,51513,0
Steven Universe,Steven Universe,Steven Universe,Steven Universe,L.Dre,152,54200000,0.676,0.0674,7,-13.899,1,0.0703,0.841,0.942,0.121,0.214,77.037,4,134026,65
Astronomia,Astronomia,Astronomia,Astronomia,"Vicetone, Tony Igy",82,183200000,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093,4,198095,71
Oh No (Instrumental),Oh No (Instrumental),Oh No (Instrumental),Oh No (Instrumental),Kreepa,37,17400000,0.795,0.306,8,-8.355,1,0.0337,0.000392,0.78,0.0851,0.302,87.975,4,171896,46
Guccci,Guccci,Guccci,Guccci,Mad Clip,1041,1200000,0.565,0.536,5,-9.706,0,0.293,0.296,0.0,0.176,0.261,83.475,4,208383,57
BARELY BREATHING,Barely Breathing,,Duncan Sheik,Duncan Sheik,104,6600000,0.482,0.807,0,-6.976,1,0.0457,0.0281,0.0,0.177,0.516,187.918,4,254547,60
Love Tonight - David Guetta Remix,Love Tonight - David Guetta Remix Edit,Love Tonight - David Guetta Remix,Love Tonight (David Guetta Remix),"Shouse, David Guetta",435,52600000,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,4,158095,84
Astronaut In The Ocean,Astronaut In The Ocean,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,238,26600000,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4,132780,84
Blue Blood,Blue Blood Blues,It's Always Sunny In Philadelphia (Music from the Original FX Series),Sea Of Cowards,The Dead Weather,318,53700000,0.547,0.943,2,-2.502,1,0.244,0.00463,0.00789,0.685,0.515,92.262,4,202307,44
Beat Box,Beat Box 4 (with NLE Choppa),Beat Box,Beat Box 4 (with NLE Choppa),"SpotemGottem, NLE Choppa",2,1700000,0.811,0.462,8,-8.153,1,0.418,0.0651,0.0,0.129,0.356,160.125,4,212027,70
Bezos I,Bezos I,Inside (The Songs),Inside (The Songs),Bo Burnham,245,41100000,0.694,0.948,2,-5.307,1,0.0361,0.00936,1.62e-05,0.139,0.705,115.044,4,58149,79
Mia Zoi,Mia Zoi,Aliteia,Aliteia,"Mike G, Mad Clip, FLY LO, Strat",53,90400,0.934,0.545,1,-10.169,0,0.318,0.117,0.0,0.168,0.656,99.99,4,231000,52
トンデモワンダーズ,TONDEMO-WONDERZ,トンデモワンダーズ,TONDEMO-WONDERZ,sasakure.UK,45,2000000,0.671,0.913,0,-4.205,1,0.0561,0.179,0.0,0.304,0.96,172.063,4,195823,40
CLASSIC,Classic,ST-1,MKTO,MKTO,2,35800,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,4,175427,84
"Bills, Bills, Bills","Bills, Bills, Bills",The Writing's On The Wall,The Writing's On The Wall,Destiny's Child,101,28800000,0.845,0.576,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,4,256027,77
I Can Feel It v3,Disney Mashup: Let It Go / Can You Feel The Love Tonight / Part Of Your World / Colors Of The Wind / A Whole New World / Under The Sea / Son Of Man / Reflection / I See The Light,,"Casey Mattes Covers, Vol. 3","Casey Mattes, Mary Mattes, Corey Mattes, Teressa Mattes",70,25200000,0.543,0.691,9,-7.873,1,0.0653,0.293,0.0,0.255,0.319,135.99,4,212872,13
Fantasy dream,Fantasy,,Summer Is Like a Dream,khai dreams,16,11700000,0.35,0.429,7,-13.14,1,0.131,0.712,0.0,0.307,0.207,169.901,4,170667,62
Yalan,Yalan,Yalan,Yalan,"Serhat Durmus, Ecem Telli",10,1300000,0.58,0.525,3,-10.873,0,0.0363,0.00695,0.0509,0.0759,0.0925,112.991,4,201775,56
feeling,Feeling Whitney,,Stoney (Deluxe),Post Malone,29,29500000,0.412,0.227,0,-12.696,1,0.0359,0.787,4.69e-06,0.282,0.226,80.111,4,257267,76
happier,Happier Than Ever,SOUR,Happier Than Ever,Billie Eilish,24,19200000,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,298899,93
XCM (Xapiacocomayro),XCM (Xapiacocomayro),XCM (Xapiacocomayro),XCM (Xapiacocomayro),"Bossikan, Chico Beatz",928,1000000,0.735,0.758,1,-6.822,1,0.301,0.115,0.0,0.153,0.845,139.836,4,210843,58
Elefante,Así Es la Vida,Elefante,El Que Busca Encuentra,Elefante,18,108600000,0.799,0.664,7,-8.16,0,0.0899,0.134,0.0,0.146,0.631,97.987,4,310147,68
Carmen suite nº1 - Habanera,Carmen Suite No. 2: Habanera. Allegretto quasi Andantino (Act I),Romance classics george bizet,Bizet: Carmen Suites Nos. 1 & 2 - Grieg: Peer Gynt Suites Nos. 1 & 2,"Georges Bizet, Leonard Bernstein, New York Philharmonic",5,19600000,0.425,0.0928,7,-21.333,1,0.0431,0.925,0.127,0.133,0.505,124.611,4,123027,42
Yık Gel,Yak Gel,Yık Gel,Zamanın Eli,Funda Arar,2,1600000,0.588,0.774,6,-4.099,0,0.0709,0.144,0.0,0.221,0.546,89.983,4,240187,59
INDUSTRY BABY,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",552,84700000,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4,212000,96
Monster,Monster,Monster,Awake,Skillet,113,41900000,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,178013,76
Why,Why'd You Only Call Me When You're High?,Why,AM,Arctic Monkeys,11,167200,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,161124,84
 Cradles,Cradles,shmelowa,Cradles,Sub Urban,9,45100000,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616,4,209829,73
Right Round,Right Round,R.O.O.T.S. (Route of Overcoming the Struggle),R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,240,1400000,0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,4,204640,74
Funky,Funkytown,Funky,Casablanca Records Greatest Hits,Lipps Inc.,548,1400000,0.895,0.453,0,-13.987,1,0.0756,0.00196,0.374,0.0982,0.257,122.151,4,239227,62
アユミ☆マジカルショータイム ,アユミ☆マジカルショータイム(カラオケ)[原曲歌手:キノシタ],アユミ☆マジカルショータイム off vocal,アユミ☆マジカルショータイム(カラオケ)[原曲歌手:キノシタ],歌っちゃ王,11,1900000,0.402,0.947,6,-5.92,1,0.125,0.0195,0.0433,0.0965,0.425,186.936,4,229983,1
Spongebob,SpongeBob SquarePants Theme Song,Spongebob,SpongeBob's Greatest Hits,Spongebob Squarepants,699,77300000,0.674,0.848,7,-7.021,1,0.321,0.869,2.75e-06,0.856,0.766,120.189,4,44893,46
Venom - Music From The Motion Picture,Venom - Music From The Motion Picture,Venom - Music From The Motion Picture,Kamikaze,Eminem,184,84400000,0.749,0.794,0,-5.063,1,0.064,0.0193,0.0,0.543,0.46,135.959,4,269554,78
Believe Me,Believe Me,Believe Me,Believe Me,Navos,329,95400000,0.629,0.876,5,-5.572,0,0.0408,0.129,1.39e-06,0.29,0.645,124.999,4,188260,78
eredeti hang,Hang Mereng - Eredeti,"Honey, Cy","Hang Mereng, Meditativ Stabilitas, Meditation & Relaxing Sounds and Sleep",Relaxing Sounds,92,26700000,0.281,0.435,0,-8.34,1,0.0341,0.912,0.946,0.127,0.036,90.158,4,533333,1
Funny Song,Funny Song,"Vintage Oddities, Vol. 4",Funny Song,Cavendish Music,69,55400000,0.691,0.276,9,-9.305,1,0.162,0.91,2.49e-05,0.0751,0.731,159.353,4,107107,37
MONEY,MONEY,LALISA,LALISA,LISA,1350,82000000,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,4,168228,92
Some Say You Will Love Me One Day,Some Say You Will Love Me One Day,Some Say You Will Love Me One Day,Some Say You Will Love Me One Day,Natalie Summer,7,117500,0.753,0.426,1,-7.702,1,0.0567,0.263,0.0,0.145,0.397,105.059,4,175548,40
Hell Shell,Hell Shell,Nudy Land,Nudy Land,Young Nudy,80,4000000,0.853,0.514,0,-5.445,0,0.246,0.000909,0.0222,0.185,0.679,129.963,4,162527,78
human,Human,human,Human (Deluxe),Rag'n'Bone Man,25,10100000,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,4,200187,77
Paparazzi (Instrumental),Paparazzi - Instrumental,#NOMACHINESTREAMS,Paparazzi,Xzibit,10,95400,0.674,0.54,1,-7.553,1,0.159,0.00167,0.883,0.318,0.383,184.754,4,236600,30
Hit 'em Up,Hit 'Em Up - Single Version,Nu-mixx Klazzics,Greatest Hits,"2Pac, Outlawz",47,478700,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,4,312627,75
Mama Said,Mama Said,Lukas Graham,Lukas Graham,Lukas Graham,403,35300000,0.712,0.799,7,-4.564,0,0.0703,0.0447,6.4e-05,0.37,0.591,83.996,4,206903,75
Might Be - Remix,Might Be - Remix,Might Be (Remix) [feat. PnB Rock],Might Be (Remix) [feat. PnB Rock],"DJ Luke Nasty, PnB Rock",530,104600000,0.419,0.743,0,-6.786,1,0.395,0.403,0.0,0.0889,0.845,74.376,4,216119,66
Funny Song,Funny Song,"Vintage Oddities, Vol. 4",Funny Song,Cavendish Music,70,46900000,0.691,0.276,9,-9.305,1,0.162,0.91,2.49e-05,0.0751,0.731,159.353,4,107107,37
Chu Desu!,Chu Desu!,,Chu Desu!,"Chunnyt, Dodogo",13,1200000,0.813,0.888,0,-4.858,1,0.122,0.0216,0.0111,0.0899,0.682,133.018,4,242627,23
All Eyes On Me,All Eyes On Me,Inside (The Songs),Inside (The Songs),Bo Burnham,38,9300000,0.352,0.424,6,-10.131,1,0.0394,0.733,2.3e-05,0.0664,0.141,127.047,4,302951,72
グッバイ宣言,グッバイ宣言,グッバイ宣言,グッバイ宣言,麻婆豆腐,13,458100,0.646,0.885,7,-3.945,1,0.172,0.0235,0.0,0.348,0.713,170.062,3,173179,52
İnsan İnsan,İnsan İnsan,İlk Şarkılar,İlk Şarkılar,"Fazıl Say, Cem Adrian, Guvenc Dagustun, Burcu Uyar, Selva Erdener",2,463300,0.319,0.243,0,-12.556,1,0.0381,0.425,0.0011,0.0824,0.105,183.525,4,391180,57
Breathe,Breathe Me,Breathe,Sad Fall Mix,Sia,2,41100000,0.544,0.63,0,-7.523,1,0.0335,0.0341,0.579,0.0961,0.202,120.066,4,274933,0
Another Love,Another Love,Long Way Down,Long Way Down,Tom Odell,42,1100000,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0941,0.131,122.764,4,244360,66
Classic,Classic,MKTO,MKTO,MKTO,168,33500000,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,4,175427,84
In Da Getto,In Da Getto,In Da Getto,In Da Getto,"J Balvin, Skrillex",446,117200000,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,4,131067,87
Deja Vu (1:04 Mix),Deja Vu - 1:04 Mix,Deja Vu (1:04 Mix),Deja Vu (1:04 Mix),dave rodgers,9,104700,0.402,0.933,5,-6.955,0,0.039,0.00022,1.27e-05,0.13,0.517,77.002,4,273312,29
Bezos I,Bezos I,Inside (The Songs),Inside (The Songs),Bo Burnham,169,31800000,0.694,0.948,2,-5.307,1,0.0361,0.00936,1.62e-05,0.139,0.705,115.044,4,58149,79
Road Trip with Ali,Road Trip With Ali,,Road Trip With Ali,Mint Fin,15,154500,0.819,0.675,4,-10.435,1,0.0553,0.299,0.845,0.105,0.275,122.994,4,272683,1
Smoke Em If Ya Got Em,Smoke 'Em If Ya Got 'Em,,Don't Close Your Eyes,Parkway Drive,34,2600000,0.221,0.973,11,-3.594,0,0.233,5.51e-05,0.0198,0.381,0.302,73.238,4,225360,32
Cinematic,Cinematic,Epic Inspirational Music,Polaroids and Panic Attacks,PREACHERVAN,10,147900,0.556,0.893,5,-5.874,0,0.0403,0.0109,0.0,0.412,0.603,133.033,4,239514,44
Laughing,Laughing on the Outside,Laughing,Laughing on the Outside b/w Heavenly,Bernadette Carroll,88,48700000,0.386,0.419,5,-9.712,1,0.0421,0.822,0.00152,0.267,0.425,99.014,3,140453,61
Surrender,Surrender,Surrender,Surrender,Natalie Taylor,221,28600000,0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,5,183103,76
My Heart Will Go On (Titanic),My Heart Will Go on (Titanic Theme Song),Cinema Old Song Romances (Composed for Qanoun & Orchestra),The Songs We Sang,Caleb and Kelsey,45,29700000,0.378,0.179,4,-8.917,1,0.0305,0.84,0.0,0.121,0.421,105.234,4,226348,47
Wet,Wet Dreamz,Wet,2014 Forest Hills Drive,J. Cole,385,314400,0.517,0.705,6,-8.205,0,0.364,0.0751,0.0,0.128,0.584,175.906,4,239320,80
Détente,Detente,Détente,Navegando,"Mike Bahía, Danny Ocean",143,1700000,0.736,0.585,7,-4.617,1,0.346,0.273,0.0,0.106,0.363,171.932,4,181845,71
Satisfya,Satisfya,"AiSh, Vol. 1",Satisfya,Imran Khan,23,33400000,0.726,0.652,1,-7.764,0,0.11,0.00451,3.32e-05,0.226,0.803,163.879,4,180056,69
Loquita,Loquita,Loquita,Loquita,"Reik, Rauw Alejandro",16,224600,0.748,0.787,6,-4.026,0,0.103,0.356,0.00625,0.122,0.711,81.99,4,199552,78
Spirits,Spirits,Hope,Hope,The Strumbellas,82,27400000,0.556,0.658,0,-6.075,1,0.0265,0.164,0.0,0.113,0.787,80.529,4,203653,72
Can't Take My Eyes Off You,Can't Take My Eyes off You,Can't Take My Eyes Off You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli,24,126100000,0.575,0.764,4,-7.448,1,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,4,203240,69
GTPM,GTPM,GTPM,GTPM,"Trannos, Billy Sio, Skam, Skliros",71,275500,0.786,0.837,2,-5.973,1,0.276,0.0117,3.32e-06,0.142,0.675,160.013,4,184516,44
No Roots,No Roots,MINT,No Roots,Alice Merton,37,23700000,0.863,0.657,7,-7.295,1,0.105,0.264,0.00619,0.0713,0.829,115.958,4,235813,58
Дикая львица,Дикая львица,Дикая львица,Дикая львица,ALEX&RUS,38,18200000,0.514,0.843,9,-4.98,0,0.303,0.363,0.0038,0.13,0.693,194.39,3,164769,64
Ma Chérie (DJ Antoine & Mad Mark 2K12 Remix),Ma Chérie - DJ Antoine & Mad Mark 2K12 Remix,Ma Chérie,Ma Chérie,"DJ Antoine, The Beat Shakers, Mad Mark",3,1400000,0.883,0.563,5,-6.304,0,0.293,0.00434,0.00608,0.0308,0.583,127.95,4,300302,5
Nickelback,How You Remind Me,Nickelback,Silver Side Up,Nickelback,26,198200,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,4,223840,79
Chug Jug With You,Chug Jug With You (Number One Victory Royale),Chug Jug With You,Chug Jug With You (Number One Victory Royale),LeviathanJPTV,12,686600,0.616,0.587,4,-9.911,0,0.486,0.706,0.0,0.163,0.478,117.522,4,185085,61
Rima Polivolo,Rima Polivolo,22:22,22:22,"DJ.Silence, Rack",288,427400,0.68,0.621,1,-8.663,1,0.12,0.0479,0.000181,0.434,0.289,165.731,4,165497,49
Passarinho Que Som É Esse,Passarinho Que Som É Esse,Passarinho Que Som É Esse,Passarinho Que Som É Esse,"DJ TOPO, Mc Cyclope, MC PR",141,83700000,0.889,0.78,5,-5.208,1,0.14,0.538,0.00344,0.088,0.82,130.042,4,148615,72
Epic Emotional,Epic Emotional,Epic Inspirational Music,Epic Inspirational Music,AShamaluevMusic,101,23100000,0.551,0.34,0,-14.446,0,0.0293,0.58,0.936,0.103,0.139,125.055,4,252070,42
